Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\PromptSpark.Chat.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.4,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.4  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\PromptSpark.Chat.csproj,,,Microsoft.AspNetCore.SignalR 1.2.0,,,,,"Microsoft.AspNetCore.SignalR, 1.2.0  Recommendation:  Remove Microsoft.AspNetCore.SignalR, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\PromptSpark.Chat.csproj,,,Microsoft.Extensions.Options.ConfigurationExtensions 9.0.4,,,,,"Microsoft.Extensions.Options.ConfigurationExtensions, 9.0.4  Recommendation:  Remove Microsoft.Extensions.Options.ConfigurationExtensions, and replace with new package Microsoft.Extensions.Options.ConfigurationExtensions 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\PromptSpark.Chat.csproj,,,System.Text.Json 9.0.4,,,,,"System.Text.Json, 9.0.4  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\PromptSpark.Chat.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\Controllers\HomeController.cs,40,8,T:System.Net.Http.HttpContent,,,,,var jsonContent = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\Controllers\HomeController.cs,26,8,T:System.Net.Http.HttpContent,,,,,var jsonContent = await response.Content.ReadAsStringAsync();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\Application\Diagnostics\ConfigurationDiagnostics.cs,22,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var modelId = configuration.GetValue<string>(""MODEL_ID"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\Application\Diagnostics\ConfigurationDiagnostics.cs,21,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var apiKey = configuration.GetValue<string>(""OPENAI_API_KEY"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PromptSpark.Chat\PromptSpark.Chat.csproj,File,PromptSpark.Chat\Program.cs,94,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<WorkflowOptions>(builder.Configuration.GetSection(""Workflow""));"
